start,end,count,missing,type,,,,,,,
1972-02-04,1972-02-08,5,0,MIN_TEMPERATURE,,,,,,,
1971-12-21,1971-12-25,5,0,MIN_TEMPERATURE,,,,,,,
1968-01-10,1968-01-14,5,0,MIN_TEMPERATURE,,,,,,,
1980-01-10,1980-01-14,5,0,MIN_TEMPERATURE,,,,,,,
1976-01-05,1976-01-09,5,0,MIN_TEMPERATURE,,,,,,,
1994-02-22,1994-02-26,5,0,MIN_TEMPERATURE,,,,,,,
1992-12-27,1992-12-31,5,2,MIN_TEMPERATURE,,,,,,,
1985-11-25,1985-11-29,5,0,MIN_TEMPERATURE,,,,,,,
1989-11-10,1989-11-14,5,0,MIN_TEMPERATURE,,,,,,,
1980-12-08,1980-12-12,5,0,MIN_TEMPERATURE,,,,,,,
1983-01-09,1983-01-13,5,0,MIN_TEMPERATURE,,,,,,,
1983-01-21,1983-01-25,5,0,MIN_TEMPERATURE,,,,,,,
1983-12-26,1983-12-30,5,0,MIN_TEMPERATURE,,,,,,,
2006-11-24,2006-11-28,5,0,MIN_TEMPERATURE,,,,,,,
2005-01-11,2005-01-15,5,0,MIN_TEMPERATURE,,,,,,,
2000-01-13,2000-01-17,5,0,MIN_TEMPERATURE,,,,,,,
1996-11-20,1996-11-24,5,0,MIN_TEMPERATURE,,,,,,,
1996-12-22,1996-12-26,5,0,MIN_TEMPERATURE,,,,,,,
2016-12-12,2016-12-16,5,0,MIN_TEMPERATURE,,,,,,,
2019-01-06,2019-01-10,5,0,MIN_TEMPERATURE,,,,,,,
2017-12-27,2017-12-31,5,0,MIN_TEMPERATURE,,,,,,,
